Datetime,PPO,DQN,EW,BH
2025-11-10 18:30:00,-0.007831581366986601,-0.007831581366986601,0.011063492806732413,0.011031310758103392
2025-11-10 19:00:00,-0.007324419187608748,-0.007324419187608748,0.012178044678220912,0.012146142157345587
2025-11-10 19:30:00,-0.0076081801343819856,-0.0076081801343819856,0.012375874631834701,0.012344690946337862
2025-11-10 20:00:00,-0.008334480623758894,-0.008334480623758894,0.01216324277329755,0.012132508212854802
2025-11-10 20:30:00,-0.007273044054873207,-0.007273044054873207,0.01251041300639037,0.012479673172704929
2025-11-11 14:30:00,-0.00326099594036992,-0.00326099594036992,0.013210771493688793,0.013176072379073327
2025-11-11 15:00:00,-0.002593911697201587,-0.002593911697201587,0.010662052329267042,0.010630022077954528
2025-11-11 15:30:00,-0.0022072167983036716,-0.0022072167983036716,0.010625108129930875,0.010591485333500456
2025-11-11 16:00:00,-0.002950810895311278,-0.002950810895311278,0.01069355761888141,0.010659375125633364
2025-11-11 16:30:00,-0.003094183168686467,-0.003094183168686467,0.01104488014384796,0.01101011426216458
2025-11-11 17:00:00,-0.0026206238256872736,-0.0026206238256872736,0.012194719051803582,0.012161306646483423
2025-11-11 17:30:00,-0.002927398184621762,-0.002927398184621762,0.013019387772691585,0.012987357360818406
2025-11-11 18:00:00,-0.002816280200964221,-0.002816280200964221,0.013333961172119095,0.013303526000576677
2025-11-11 18:30:00,-0.0032054168620614916,-0.0032054168620614916,0.014022595517528798,0.013992361294320708
2025-11-11 19:00:00,-0.003065337365703426,-0.003065337365703426,0.014012940488553553,0.013981471800599771
2025-11-11 19:30:00,-0.0030941831412261305,-0.0030941831412261305,0.014367202091883882,0.014334648607187748
2025-11-11 20:00:00,-0.0029273981730037254,-0.0029273981730037254,0.014444427807104632,0.01441119111407383
2025-11-11 20:30:00,-0.0028162801910324945,-0.0028162801910324945,0.014576062036756657,0.014541837094845252
2025-11-12 14:30:00,-0.002205012835245491,-0.002205012835245491,0.014995672585622524,0.01495983167996084
2025-11-12 15:00:00,-0.0018161804427517384,-0.0018161804427517384,0.016995410218702277,0.016953705586498224
2025-11-12 15:30:00,-0.0012932579762393228,-0.0012932579762393228,0.017151976277742422,0.017106189713785313
2025-11-12 16:00:00,-0.0005398089642828512,-0.0005398089642828512,0.017926899783821174,0.01788060685789407
2025-11-12 16:30:00,0.0006253102540394093,0.0006253102540394093,0.018114272679334832,0.018065054367500052
2025-11-12 17:00:00,0.0009011675711774556,0.0009011675711774556,0.01869610893839436,0.01864756513626257
2025-11-12 17:30:00,0.001067287568737914,0.001067287568737914,0.01986921807329923,0.019821486851402573
2025-11-12 18:00:00,-0.0005398089486532711,-0.0005398089486532711,0.01986846855146907,0.01981929516922151
2025-11-12 18:30:00,-0.0006507588806756388,-0.0006507588806756388,0.019922598773093294,0.01987351010197414
2025-11-12 19:00:00,0.00029061278755177855,0.00029061278755177855,0.01873759271565284,0.0186899656707185
